0,-7.78579,-29.6916,0,-1.92188
0.3,-6.61792,-25.2379,0,-1.6336
0.6,-5.45005,-20.7841,0,-1.34531
0.9,-4.28219,-16.3304,0,-1.05703
1.2,-3.11432,-11.8767,0,-0.768751
1.5,-1.94645,-7.42291,0,-0.48047
1.8,-0.778579,-2.96916,0,-0.192188
2.1,0.38929,1.48458,0,0.0960939
2.4,1.55716,5.93833,0,0.384376
2.7,2.72503,10.3921,0,0.672657
3,3.8929,14.8458,0,0.960939
3,23.3574,89.0749,-8.88889,70.2101
3.3,19.8538,75.7137,-7.55556,59.6786
3.6,16.3502,62.3524,-6.22222,49.1471
3.9,12.8466,48.9912,-4.88889,38.6155
4.2,9.34295,35.63,-3.55556,28.084
4.5,5.83934,22.2687,-2.22222,17.5525
4.8,2.33574,8.90749,-0.888889,7.02101
5.1,-1.16787,-4.45375,0.444444,-3.5105
5.4,-4.67148,-17.815,1.77778,-14.042
5.7,-8.17508,-31.1762,3.11111,-24.5735
6,-11.6787,-44.5375,4.44444,-35.105
6,-51.9607,-116.676,22.2222,-164.193
6.3,-44.1666,-99.175,18.8889,-139.564
6.6,-36.3725,-81.6735,15.5556,-114.935
6.9,-28.5784,-64.1721,12.2222,-90.306
7.2,-20.7843,-46.6706,8.88889,-65.6771
7.5,-12.9902,-29.1691,5.55556,-41.0482
7.8,-5.19607,-11.6676,2.22222,-16.4193
8.1,2.59804,5.83382,-1.11111,8.20964
8.4,10.3921,23.3353,-4.44444,32.8385
8.7,18.1863,40.8368,-7.77778,57.4675
9,25.9804,58.3382,-11.1111,82.0964
9,24.4103,66.6831,8.88889,88.8712
9.3,20.7487,56.6807,7.55556,75.5405
9.6,17.0872,46.6782,6.22222,62.2098
9.9,13.4257,36.6757,4.88889,48.8792
10.2,9.76411,26.6733,3.55556,35.5485
10.5,6.10257,16.6708,2.22222,22.2178
10.8,2.44103,6.66831,0.888889,8.88712
11.1,-1.22051,-3.33416,-0.444444,-4.44356
11.4,-4.88206,-13.3366,-1.77778,-17.7742
11.7,-8.5436,-23.3391,-3.11111,-31.1049
12,-12.2051,-33.3416,-4.44444,-44.4356
