0,90,0,-175,0,5.225e-06,337
0.3,89.6672,-1.26932,-175,-0.0821603,5.10302,336.941
0.6,88.7387,-4.81005,-175,-0.311344,19.3112,336.156
0.9,87.3197,-10.2213,-175,-0.661607,40.8241,333.202
1.2,85.5154,-17.1024,-175,-1.107,67.4911,326.443
1.5,83.4307,-25.0523,-175,-1.62158,96.7604,314.637
1.8,81.1709,-33.6703,-175,-2.17941,125.863,297.384
2.1,78.841,-42.5555,-175,-2.75453,152.202,275.35
2.4,76.5462,-51.3072,-175,-3.32101,173.813,250.197
2.7,74.3914,-59.5243,-175,-3.85289,189.714,224.243
3,72.482,-66.8062,-175,-4.32423,200,200
3,72.482,-66.8062,-175,-4.32423,200,200
3.3,71.7287,-69.6789,-175.38,-1.75517,203.045,190.248
3.6,72.7623,-65.7373,-176.44,6.18496,198.72,203.608
3.9,75.2673,-56.184,-178.06,18.5483,183.787,235.015
4.2,78.9286,-42.2215,-180.12,34.3871,151.288,276.248
4.5,83.4307,-25.0523,-182.5,52.7534,96.7604,314.637
4.8,88.4584,-5.87895,-185.08,72.6995,23.5854,335.74
5.1,93.6963,14.0961,-187.74,93.2774,-55.9621,329.802
5.4,98.8291,33.6703,-190.36,113.539,-125.863,297.384
5.7,103.541,51.6412,-192.82,132.538,-174.545,249.18
6,107.518,66.8062,-195,149.324,-200,200
6,107.518,66.8062,-195,149.324,-200,200
6.3,108.8,75.1795,-196.05,157.67,-204.5,174.741
6.6,106.108,74.6271,-195.4,153.455,-196.09,185.524
6.9,100.141,66.724,-193.35,138.895,-172.62,224.221
7.2,91.6031,53.0455,-190.2,116.209,-121.273,277.083
7.5,81.1942,35.1666,-186.25,87.6108,-33.1995,319.936
7.8,69.6162,14.6625,-181.8,55.3187,82.0757,324.082
8.1,57.5706,-6.89167,-177.15,21.5489,194.551,274.442
8.4,45.7588,-27.9208,-172.6,-11.4821,271.221,183.198
8.7,34.8822,-46.8498,-168.45,-41.5576,298.878,82.0741
9,25.6425,-62.1035,-165,-66.461,290,0
9,25.6425,-62.1035,-165,-66.461,290,0
9.3,18.4985,-72.1437,-161.62,-84.2403,269.1,-52.492
9.6,13.2218,-77.0827,-157.56,-95.2209,252.389,-82.8765
9.9,9.48305,-77.8207,-152.94,-100.603,244.753,-99.8439
10.2,6.95258,-75.2578,-147.88,-101.585,246.058,-108.337
10.5,5.30087,-70.2944,-142.5,-99.3685,254.192,-110.674
10.8,4.1984,-63.8306,-136.92,-95.1522,266.265,-108.241
11.1,3.31562,-56.7666,-131.26,-90.136,279.236,-102.797
11.4,2.323,-50.0027,-125.64,-85.5197,290.445,-97.0899
11.7,0.890984,-44.4391,-120.18,-82.5031,297.897,-94.8006
12,-1.30995,-40.9761,-115,-82.286,300,-100
