0,0,0,0,0
0.3,-2.16056,-8.23943,0,-0.533321
0.6,-3.97075,-15.1427,0,-0.980158
0.9,-5.43059,-20.7099,0,-1.34051
1.2,-6.54006,-24.941,0,-1.61438
1.5,-7.29918,-27.8359,0,-1.80176
1.8,-7.70793,-29.3947,0,-1.90266
2.1,-7.76633,-29.6174,0,-1.91707
2.4,-7.47436,-28.504,0,-1.845
2.7,-6.83203,-26.0544,0,-1.68645
3,-5.83934,-22.2687,0,-1.44141
3,-5.83934,-22.2687,0,-1.44141
3.3,0.642328,2.44956,-2.46667,18.0419
3.6,6.07292,23.1595,-4.53333,34.3657
3.9,10.4524,39.861,-6.2,47.5301
4.2,13.7809,52.5542,-7.46667,57.5351
4.5,16.0582,61.239,-8.33333,64.3805
4.8,17.2845,65.9154,-8.8,68.0666
5.1,17.4596,66.5835,-8.86667,68.5931
5.4,16.5837,63.2432,-8.53333,65.9603
5.7,14.6568,55.8945,-7.8,60.1679
6,11.6787,44.5375,-6.66667,51.2162
6,11.6787,44.5375,-6.66667,51.2162
6.3,-2.74041,12.1597,-0.5,5.65267
6.6,-14.8213,-14.9675,4.66667,-32.5221
6.9,-24.5639,-36.8444,8.83333,-63.3083
7.2,-31.9683,-53.4708,12,-86.7057
7.5,-37.0345,-64.8467,14.1667,-102.715
7.8,-39.7624,-70.9722,15.3333,-111.335
8.1,-40.1521,-71.8473,15.5,-112.566
8.4,-38.2036,-67.4719,14.6667,-106.409
8.7,-33.9168,-57.8461,12.8333,-92.863
9,-27.2919,-42.9699,10,-71.9284
9,-27.2919,-42.9699,10,-71.9284
9.3,-20.518,-24.4653,12.4667,-47.2666
9.6,-14.8426,-8.96148,14.5333,-26.6041
9.9,-10.2657,3.5416,16.2,-9.94075
10.2,-6.78722,13.044,17.4667,2.7234
10.5,-4.40722,19.5456,18.3333,11.3883
10.8,-3.12568,23.0464,18.8,16.0541
11.1,-2.9426,23.5465,18.8667,16.7206
11.4,-3.85798,21.0459,18.5333,13.3879
11.7,-5.87183,15.5446,17.8,6.05607
12,-8.98414,7.04247,16.6667,-5.27501
